Incident ID,Application ID,Incident Creation Timestamp,Resolution Timestamp,Incident Title,Incident Description,Root Cause,Resolution,Severity
INC6001,AUTH-SVC,2025-03-21 09:00:00,2025-03-21 10:10:00,Auth latency spike,Authentication requests experiencing high latency under load,Thread contention due to synchronous DB calls,"1. Inspect thread dump for blocked threads
2. Identify synchronous DB calls
3. Convert blocking calls to async
4. Optimize DB queries
5. Deploy fix and monitor latency",High
INC6002,AUTH-SVC,2025-03-21 09:15:00,2025-03-21 10:45:00,Token validation errors,Users unable to login due to token rejection,Token signature mismatch across services,"1. Compare signing keys across services
2. Validate key rotation timeline
3. Synchronize keys
4. Restart services gracefully
5. Verify login success rate",High
INC6003,API-GW,2025-03-21 10:00:00,2025-03-21 11:20:00,API timeout surge,Multiple APIs timing out intermittently,Circuit breaker misconfigured causing early trips,"1. Review circuit breaker thresholds
2. Check downstream latency metrics
3. Adjust failure thresholds
4. Reset breaker state
5. Monitor recovery",High
INC6004,API-GW,2025-03-21 10:10:00,2025-03-21 11:00:00,Gateway routing failure,Requests not reaching backend services,Service registry inconsistency,"1. Validate service registry entries
2. Check heartbeat failures
3. Refresh registry cache
4. Restart gateway nodes
5. Verify routing",High
INC6005,PAY-UPI,2025-03-21 11:00:00,2025-03-21 13:10:00,UPI transaction delay,Transactions taking longer to complete,Kafka backlog delaying event processing,"1. Check consumer lag
2. Identify slow partitions
3. Scale consumers
4. Reprocess backlog
5. Monitor throughput",High
INC6006,PAY-UPI,2025-03-21 11:10:00,2025-03-21 12:30:00,Payment failure spike,High rate of transaction failures,PSP endpoint latency spike,"1. Monitor PSP response time
2. Enable retry with backoff
3. Route traffic to secondary PSP
4. Validate success rate",High
INC6007,DB-CORE,2025-03-21 12:00:00,2025-03-21 14:00:00,Slow query degradation,Database queries slowing down progressively,Index fragmentation,"1. Analyze query plans
2. Rebuild fragmented indexes
3. Optimize query paths
4. Monitor execution time",High
INC6008,DB-CORE,2025-03-21 12:15:00,2025-03-21 13:40:00,Connection pool starvation,Applications unable to get DB connections,Improper pool sizing under load,"1. Inspect pool usage metrics
2. Increase pool size
3. Identify connection leaks
4. Patch service
5. Validate availability",High
INC6009,CACHE-REDIS,2025-03-21 13:00:00,2025-03-21 14:10:00,Cache eviction spike,Frequent cache evictions causing latency,Memory pressure in Redis cluster,"1. Check memory utilization
2. Adjust maxmemory policy
3. Increase node capacity
4. Monitor hit ratio",Medium
INC6010,CACHE-REDIS,2025-03-21 13:10:00,2025-03-21 14:30:00,Cache stampede effect,DB overload due to simultaneous cache misses,Synchronized TTL expiry,"1. Identify hot keys
2. Randomize TTL values
3. Implement request coalescing
4. Add cache warming strategy",High
INC6011,QUEUE-KAFKA,2025-03-21 14:00:00,2025-03-21 16:30:00,Consumer lag accumulation,Event processing delayed,Uneven partition distribution,"1. Check partition assignment
2. Rebalance partitions
3. Scale consumer instances
4. Monitor lag metrics",High
INC6012,QUEUE-KAFKA,2025-03-21 14:10:00,2025-03-21 15:45:00,Offset commit failures,Consumers reprocessing messages,Offset commit errors,"1. Inspect commit logs
2. Fix commit logic
3. Reset offsets
4. Validate idempotency",High
INC6013,NOTIF-SVC,2025-03-21 15:00:00,2025-03-21 16:00:00,OTP delivery failure,Users not receiving OTP,SMS provider TLS issue,"1. Check TLS handshake logs
2. Update certificates
3. Restart gateway
4. Validate OTP delivery",High
INC6014,NOTIF-SVC,2025-03-21 15:10:00,2025-03-21 16:40:00,Notification delay,Delayed push notifications,Queue backlog,"1. Inspect queue depth
2. Scale workers
3. Optimize batching
4. Monitor latency",Medium
INC6015,CARD-SVC,2025-03-21 16:00:00,2025-03-21 17:10:00,Card transaction rejection,POS payments failing,Fraud model latency spike,"1. Analyze fraud service latency
2. Add caching layer
3. Optimize scoring logic
4. Monitor approvals",High
INC6016,CARD-SVC,2025-03-21 16:15:00,2025-03-21 17:45:00,Card network instability,Intermittent failures in card processing,Downstream network provider issues,"1. Check provider health
2. Enable fallback routing
3. Monitor transaction success
4. Notify provider",High
INC6017,SEC-AUTH,2025-03-21 17:00:00,2025-03-21 18:00:00,Session inconsistency,Users losing session state,Distributed cache inconsistency,"1. Inspect session store
2. Centralize session management
3. Sync cache nodes
4. Validate session persistence",Medium
INC6018,SEC-AUTH,2025-03-21 17:10:00,2025-03-21 18:20:00,Session expiry anomaly,Sessions expiring early,Incorrect TTL config,"1. Review TTL settings
2. Adjust expiry values
3. Redeploy auth service
4. Monitor session duration",Low
INC6019,ETL-SVC,2025-03-22 01:00:00,2025-03-22 04:30:00,ETL pipeline failure,Data pipeline not completing,Schema mismatch,"1. Validate schema mapping
2. Update transformations
3. Rerun failed jobs
4. Verify data consistency",Medium
INC6020,ETL-SVC,2025-03-22 01:15:00,2025-03-22 03:00:00,Data ingestion delay,Delayed analytics data,Upstream dependency lag,"1. Identify upstream delays
2. Trigger manual ingestion
3. Optimize ingestion pipeline
4. Monitor freshness",Low
INC6021,NET-INFRA,2025-03-22 08:00:00,2025-03-22 09:30:00,DNS resolution delay,Services unable to resolve endpoints,DNS cache poisoning,"1. Flush DNS cache
2. Validate DNS entries
3. Secure resolver configs
4. Monitor resolution time",High
INC6022,NET-INFRA,2025-03-22 08:10:00,2025-03-22 09:10:00,TLS handshake failure,Secure connections failing,Expired certificates,"1. Check certificate expiry
2. Renew certificates
3. Restart services
4. Validate secure connections",High
INC6023,API-SVC,2025-03-22 09:00:00,2025-03-22 10:20:00,Serialization errors,API responses malformed,Incorrect schema serialization,"1. Validate schema definitions
2. Fix serialization logic
3. Deploy updated service
4. Test API responses",Medium
INC6024,API-SVC,2025-03-22 09:15:00,2025-03-22 10:45:00,Deserialization failure,Requests failing on parsing,Version mismatch,"1. Compare schema versions
2. Update parsing logic
3. Deploy compatibility fix
4. Validate requests",Medium
INC6025,SEARCH-SVC,2025-03-22 10:00:00,2025-03-22 11:30:00,Search latency spike,Search queries slow,Index corruption,"1. Validate index health
2. Rebuild index
3. Optimize query execution
4. Monitor latency",High
