Incident ID,Application ID,Incident Creation Timestamp,Resolution Timestamp,Incident Title,Incident Description,Root Cause,Resolution,Severity
INC9990362452,4356-1(Online Banking),18/11/2025  10:18,18/11/2025  16:17,Performance issue with Investment section in Online Banking application,Customers were experiencing extreme slowness and in some cases timeout error while loading the investment section in Online Banking application,There were indexes missing in the query planner at the database level of the source application which caused high response times for multiple backend calls.,"Step 01: Analyzed the end-to-end application flow across various components starting with apache, tomcat, backend database (app_logger table) and fabric instance.
Step 02: Logs from each component were investigated to isolate the backend calls which showed unusually higher response times.
Step 03: After isolating the problematic calls to the customer_profile service which connects to the core banking application to retrieve the client data, the vendor support along with the developement team were engaged.
Step 04: Upon further investigation, it was identified that the backend database calls were performing slowly due to missing indexes in the query planner.
Step 05: The vendor support created the required indexes to optimize the query planner. 
Step 06: As a result, the response times for the affected calls improved significantly as reflected in new relic monitoring screens as well, restoring the application performance.",P3H
INC9990282310,4356-1(Online Banking),7/11/25 11:00,7/11/25 15:00,Multiple instant payments initiated by clients via Online Banking and MyBank apllications were rejected,Instant payments initiated by customers in Online Banking and MyBank applications were rejected,"1. Rejected by RTE due to negative response from Clearing i.e. payment was not allowed at the beneficiary bank
2. Rejected by fraud check team based on business rules applied at their end e.g. maximum amount exceeding EUR 10,000 for a new beneficiary
3. Timeout error during fraud payment check
4. Invalid counterparty account
5. Initiator applications were not onboarded to the Central Instant_Payment platform
","Step 01: Connected to the instant payment database to identify the payment reference based on client ID, source account and payment initiation date
Step 02: Logs from the Instant_Payment microservice in fabric (dk9240) instance were investigated to verify the rejection code
Step 03: Necessary actions were taken based on the rejection code.
a) Rejection code RJCT025 - Rejected by beneficiary bank, clients were informed to check in case the beneficiary is allowed to receive instant payment.
b) Rejection code RJCT046 - Rejected by fraud check, the fraud check support was contacted to verify the exact rejection criteria. For example, if clients have initiated payment of EUR 10,000 in the last 24 hrs to a new beneficiary, they were not able to make further payments and had to wait until tge 24 hr period is over.
c) Rejection code RJCT013 - Rejected due to timeout error from the counterparty directly during fraud check. Cients were duly informed that the beneficiary bank didn't respond in time with regards to the fraud check and hence to safeguard the client's money the payment was rejected.
d) Rejection code RJCT022 - Rejected due to invalid counterparty account details. Clients were advised to verify the details provided for the beneficiary account as tge payment was rejected directly by the beneficiary bank.
e) Payment initiator channels were onboarded to the central platform to allow the instant payments.
",P3M
INC9991543236,5432-1(ODS),11/11/25 17:08,11/11/25 20:00,Payment processing getting failed in ODS,Payments registered via OLB are not sent to central system for further processing,Informatica(ETL) job responsible for sending the payments to central system is getting failed as there is an overlap between the 1st and 2nd run of the day,"Step 01:Verify the status of respective ETL (wf_payments)                             
Step 02: if the ETL is in unscheduled state, note down the transactions that were not sent to clearing house and inform to business.
Step 03:Process the pending records by scheduling the ETL (wf_Payments).  
This is a known issue with the scheduling in the current version of informatica(10.5). Vendor has provided the patch to fix the scheduling issue",P3C
INC9999843212,5432-1(ODS),11/11/25 17:08,11/11/25 20:00,Customers are not able to see the latest status of their payment in online banking,Latest Payment status is not reflecting in front end  which were already processed at ODS and Central bank system.,"Due to  an issue with the authentication service, ETL responsible for updating the payment status in front end got failed","Step 01: Verify the status of respective ETL (wf_payment_Status)                          Step 02: Verify the error in the informatica session logs.
Step 03: If the error is ""Not able to connect authentication microservice"", then it is an issue with the ""authehtication"" microservice                                                                                Step 04: Contact authentication support team (xyz@authentication.com) to fix the issue.                                        
Step 05:Post getting the confitmation from authetication team on fixing the issue, place all the backlog files present under path /authentication/input to source path (/authentication/source) and trigger the ETL(wf_payment_status) from failed session                 ",P3C
INC9999843313,5432-1(ODS),11/11/25 17:08,11/11/25 20:00,Payment processing getting failed in ODS due to duplicate payment records,Payments registered via OLB are not sent to central system for further processing,"There were duplicate payment records in the file. To prevent duplicate data from being sent to the Central system,the responsible ETL's process was designed to fail automatically if duplicates are detected due to which all the payments were stuck","Step 01: Verify/Check  the respective ETL Status (wf_Payments).                   Step 02: Check if the session (s_duplicate_check) is failed.
Step 03: If it is failed in the above session, check the session logs with error ""duplicate records exist""
Step 04: If the above mentioned error exists, move the file TXXXX to /temporary path                                                                     
Step 05: Retrigger the ETL from next session",P3C
INC9999840017,5432-1(ODS),11/11/25 17:08,11/11/25 20:00,Confirmation file from central bank is not received due to which 2nd set of file is not sent to central bank,"After sending the file from ODS to central bank, confirmation file was not received",Confirmation file is not received from central bank,"Step 01: Verify the status ofrespective ETL (wf_Central_Bank).
Step 02: Check the session(s_confirmation) logs.                                                                                                               Step 03: Check for the error ""unavailability of confirmation file"".                                                          Step 04: Send mail to central bank to check if the file sent by application team is processed successfully at their end or not
Step 05: If central bank confirms file is processed successfully, change the status of column 'send_status' in table 'central_bank_report' from 'failed' to 'completed'
Step 06: Post changing the status, trigger tje wf_Central_Bank workflow",P3C
INC9999840016,5431-1(DWH),10/18/24 10:00,10/25/24 12:00,Latest data not loaded in datawarehouse,ETL responsible for loading data into datawarehouse got stuck,File from core banking system is not available,"Step 01: Verify in which command task ETL (wf_Datawarehouse_Load) got stuck
Step 02: Open the respective command task in the workflow manager and find out the path and the file name
Step 03: Check with the core banking team (corebanking@ab.com) about the file availability and parallely inform the datawarehouse team if we can skip the file and process remaining ETL or wait for the file
Step 04: Based on the feedback from the datawarehouse, proceed with next steps",
INC9999840112,5432-1(ODS),10/10/24 10:00,10/18/24 10:00,Customers are not getting the e-mails or sms related to their trading activity,Job responsible for sending emails and sms to customers related to their trading is getting failed,Connectivity issue between backend application and the vendor responsible for sending the emails or sms,"Step 01: Verify the status of respective ETL (wf_email_sms)
Step 02: if the command task (cmd_email_sms) responsible for sending the file to vendor is failed, move the output file from /archive path to /target path
Step 03: Retrigger the failed command task (cmd_email_sms)",
INC9999840113,5432-1(ODS),10/18/24 10:00,10/25/24 12:00,Customers are not getting the e-mails or sms related to their trading activity,Job responsible for sending emails and sms to customers related to their trading is getting failed,Multiple files were present in the input path instead of single file,"Step 01: Verify the status of respective ETL (wf_email_sms)
Step 02: if the command task (cmd_input_file) responsible for treating the input file is failed, verify the unix logs
Step 03: If it contains error like ""unable to handle multiple files"", drop mail to source team (email@sms.com) to get confirmation on which file needs to be processed
Step 04: Post getting the confirmation on the file that needs to be processed,  move the other files to /temp path
Step 05: Trigger the ETL (wf_email_sms)
",
INC9999840254,5432-1(ODS),10/25/24 12:00,10/28/24 12:00,Customers have not received their electronic statements,Job responsible for sending the electronic statements to external vendor is failed,Input file not received from source team,"Step 01: Verify the status of respective ETL (wf_electronic_statements)
Step 02: Check if the file (electronic_statements.txt) is present under the path /file/electronic_statements.
Step 03: If file is not present , drop mail to source team (electronic_statements@sms.com) 
Step 04: Post getting the file, trigger the ETL (wf_electronic_statements)
",
